ProgramId,LayerId,ProgramName,LayerName,ClientName,BrokerName,CurrencyCode,LegalEntity,BusinessUnit,BusinessSegment,Underwriter,DirectionTypeName,LayerStatusTypeName,Share,InceptionDate,ExpirationDate,Premium100,Limit100,LayerTypeName,LatestFxRate,ExpectedLoss100
5708,18510,Overseas Cat XOL,Layer 1 - Overseas Cat XOL,AiNiDoInCo_150,Nn_143,JPY,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Bound,0.03,4/1/2024,3/31/2025,84550,2837000,Excess of Loss,151.4180765,7830
5787,18795,NM Combined XL,Layer 3 - Flood Only,MaRe_607,Nrjr_169,MYR,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined - FOT,0.025,4/1/2024,3/31/2025,90420,7808000,Excess of Loss,4.687503041,43900
5787,18796,NM Combined XL,Layer 4 - Flood Only,MaRe_607,Nrjr_169,MYR,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined - FOT,0.025,4/1/2024,3/31/2025,14430,1261000,Excess of Loss,4.687503041,38910
5787,18797,NM Combined XL,Layer 5 - Flood Only,MaRe_607,Nrjr_169,MYR,Bermuda,Property Re,CAT Asia Pac,Mark,Assumed,Declined - FOT,0.025,4/1/2024,3/31/2025,51830,2526000,Excess of Loss,4.687503041,5190
356,1005,Property Cat XOL,Layer 1,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.002,1/1/2022,12/31/2022,63050,8125000,Excess of Loss,1.39304869,11220
356,1006,Property Cat XOL,Layer 1 Third Event,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.002,1/1/2022,12/31/2022,99110,5633000,Excess of Loss,1.39304869,48130
356,1007,Property Cat XOL,Layer 2,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.004,1/1/2022,12/31/2022,78770,6076000,Excess of Loss,1.39304869,32720
356,1008,Property Cat XOL,Layer 3,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.003,1/1/2022,12/31/2022,68830,4990000,Excess of Loss,1.39304869,3160
356,1009,Property Cat XOL,Layer 4,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.002,1/1/2022,12/31/2022,94180,6966000,Excess of Loss,1.39304869,47460
356,1010,Property Cat XOL,Layer 5,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.004,1/1/2022,12/31/2022,76530,5635000,Excess of Loss,1.39304869,79700
356,1011,Property Cat XOL,Layer 6,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.004,1/1/2022,12/31/2022,62150,2108000,Excess of Loss,1.39304869,20620
356,1012,Property Cat XOL,Layer 7,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.004,1/1/2022,12/31/2022,32290,3610000,Excess of Loss,1.39304869,78840
926,4387,Property Cat XOL,Layer 2 - Midpoint,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.005,6/1/2022,5/31/2023,10330,9485000,Excess of Loss,1.530607738,52210
926,4388,Property Cat XOL,Layer 1 - Midpoint,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,6/1/2022,5/31/2023,3250,6410000,Excess of Loss,1.530607738,890
926,4390,Property Cat XOL,Layer 3 - Midpoint,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.003,6/1/2022,5/31/2023,75020,6120000,Excess of Loss,1.530607738,26710
2375,6352,Property Cat XOL,Layer 2,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,1/1/2023,12/31/2023,26760,2284000,Excess of Loss,1.488104344,5600
2375,6353,Property Cat XOL,Layer 3,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,1/1/2023,12/31/2023,89330,4314000,Excess of Loss,1.488104344,22340
2375,6354,Property Cat XOL,Layer 4,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.008,1/1/2023,12/31/2023,7210,8994000,Excess of Loss,1.488104344,31470
3012,9502,Property Cat XOL,Layer 1 ,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.015,6/1/2023,5/31/2024,91530,1113000,Excess of Loss,1.649213376,90590
3012,9503,Property Cat XOL,Layer 2 ,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,6/1/2023,5/31/2024,110,8625000,Excess of Loss,1.649213376,9240
3012,9504,Property Cat XOL,Layer 3,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.003,6/1/2023,5/31/2024,55050,7391000,Excess of Loss,1.649213376,82520
3012,11328,Property Cat XOL,Layer 4,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,6/1/2023,5/31/2024,51060,4354000,Excess of Loss,1.649213376,60250
3577,12012,Property Cat XOL - BH on AIG XL,Layer 1,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Declined,0.005,9/1/2023,8/31/2024,27900,540000,Excess of Loss,1.495885758,37590
3839,12771,Property Cat XOL,Layer 2,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Declined,0.005,1/1/2024,12/31/2024,10560,741000,Excess of Loss,1.492982784,40860
3839,12772,Property Cat XOL,Layer 3,InAuGrLt_70,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Declined,0.005,1/1/2024,12/31/2024,96800,7134000,Excess of Loss,1.492982784,63700
5363,16794,Property Cat XOL,4th Cat,EaCoofNeZe_161,N_1,NZD,London 1, Property Do,CAT Australia / NZ,Joachim,Assumed,In Process,0.01,6/1/2023,5/31/2024,89360,1027000,Excess of Loss,1.662648667,11930
5691,18423,Property Cat XOL,Layer 1 ,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.012,6/1/2024,5/31/2025,18340,1976000,Excess of Loss,1.630391082,66760
5691,18424,Property Cat XOL,Layer 2 ,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.013,6/1/2024,5/31/2025,70260,36000,Excess of Loss,1.630391082,75040
5691,18425,Property Cat XOL,Layer 3,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.013,6/1/2024,5/31/2025,2060,7848000,Excess of Loss,1.630391082,68850
5691,18426,Property Cat XOL,Layer 4,EaCoofNeZe_161,Nn_143,NZD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.013,6/1/2024,5/31/2025,84550,466000,Excess of Loss,1.630391082,45050
7166,21594,Property Cat XOL,Layer 1,ThHoInCoLi_4796,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,7/1/2024,6/30/2025,4990,5445000,Excess of Loss,1.496781975,97990
7166,21595,Property Cat XOL,Layer 2,ThHoInCoLi_4796,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,7/1/2024,6/30/2025,78350,4868000,Excess of Loss,1.496781975,16240
7166,21596,Property Cat XOL,Layer 3,ThHoInCoLi_4796,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,7/1/2024,6/30/2025,19850,4146000,Excess of Loss,1.496781975,20510
7166,21597,Property Cat XOL,Layer 4,ThHoInCoLi_4796,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,7/1/2024,6/30/2025,22490,8622000,Excess of Loss,1.496781975,72180
7166,21838,Property Cat XOL,Layer 5,ThHoInCoLi_4796,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,7/1/2024,6/30/2025,94150,5396000,Excess of Loss,1.496781975,39280
7166,21839,Property Cat XOL,Layer 6,ThHoInCoLi_4796,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,7/1/2024,6/30/2025,46730,3994000,Excess of Loss,1.496781975,88450
7254,21943,Property Cat XOL,4th Cat,EaCoofNeZe_161,N_1,NZD,London 1, Property Do,CAT Australia / NZ,Joachim,Assumed,Bound,0.015,6/1/2024,5/31/2025,50980,9778000,Excess of Loss,1.624828006,94720
7166,22550,Property Cat XOL,Layer 1C - 2nd Event,ThHoInCoLi_4796,Ary_157,AUD,Bermuda,Property Re,CAT Australia / NZ,Mark,Assumed,Bound,0.01,7/1/2024,6/30/2025,82950,627000,Excess of Loss,1.496781975,74630
399,1192,Property Cat XOL,Layer 2,DeIn_314,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.014,1/1/2022,12/31/2022,50600,9846000,Excess of Loss,1.26476471,37170
399,1193,Property Cat XOL,Layer 3,DeIn_314,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.01,1/1/2022,12/31/2022,39310,5094000,Excess of Loss,1.26476471,17090
399,1194,Property Cat XOL,Layer 4,DeIn_314,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.01,1/1/2022,12/31/2022,96090,2038000,Excess of Loss,1.26476471,5260
399,1195,Property Cat XOL,Layer 5,DeIn_314,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.01,1/1/2022,12/31/2022,36140,9000,Excess of Loss,1.26476471,1390
399,1671,Property Cat XOL,AUX,DeIn_314,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.022,1/1/2022,12/31/2022,87920,8666000,Excess of Loss,1.26476471,66360
1754,4923,Property Cat XOL,Layer 1,TrInCo_360,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.005,7/1/2022,6/30/2023,99350,2681000,Excess of Loss,1.287439095,28290
1754,4924,Property Cat XOL,Layer 2,TrInCo_360,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.01,7/1/2022,6/30/2023,28600,7927000,Excess of Loss,1.287439095,96240
1754,4925,Property Cat XOL,Layer 3,TrInCo_360,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.01,7/1/2022,6/30/2023,82110,4417000,Excess of Loss,1.287439095,61140
2011,5496,Prospective Property Cat XOL,Prospective (Definity) - Layer 2,PrInCo_1425,T_331,CAD,Bermuda,Property Re,CAT Canada,Ally,Assumed,Declined,0.023,1/1/2023,12/31/2023,88050,430000,Excess of Loss,1.377149729,70650
2011,5497,Prospective Property Cat XOL,Prospective (Definity) - Layer 3,PrInCo_1425,T_331,CAD,Bermuda,Property Re,CAT Canada,Ally,Assumed,Declined,0.023,1/1/2023,12/31/2023,10470,2064000,Excess of Loss,1.377149729,47140
2011,5498,Prospective Property Cat XOL,Prospective (Definity) - Layer 4,PrInCo_1425,T_331,CAD,Bermuda,Property Re,CAT Canada,Ally,Assumed,Declined,0.023,1/1/2023,12/31/2023,79640,1210000,Excess of Loss,1.377149729,27880
2011,5499,Prospective Property Cat XOL,Prospective (Definity) - Layer 5,PrInCo_1425,T_331,CAD,Bermuda,Property Re,CAT Canada,Ally,Assumed,Declined,0.023,1/1/2023,12/31/2023,84370,5642000,Excess of Loss,1.377149729,19160
2399,6445,Property Cat XOL,Underlying,SaGoIn_51,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.01,1/1/2023,12/31/2023,70270,9311000,Excess of Loss,1.377149729,21580
2399,6446,Property Cat XOL,Layer 1,SaGoIn_51,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.01,1/1/2023,12/31/2023,2670,9146000,Excess of Loss,1.377149729,9550
2399,6447,Property Cat XOL,Layer 2,SaGoIn_51,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.01,1/1/2023,12/31/2023,34170,6912000,Excess of Loss,1.377149729,26950
2399,6448,Property Cat XOL,Layer 3,SaGoIn_51,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.01,1/1/2023,12/31/2023,58610,4237000,Excess of Loss,1.377149729,55860
2440,6607,Property Cat XOL,Layer 3,ThWaMuInCo_312,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.03,1/1/2023,12/31/2023,75100,3660000,Excess of Loss,1.377149729,52070
2440,6608,Property Cat XOL,Layer 4,ThWaMuInCo_312,Ory_123,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.03,1/1/2023,12/31/2023,25130,2971000,Excess of Loss,1.377149729,51280
2413,6688,Property Cat XOL,Layer 2,CoGeInCo_1736,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.02,1/1/2023,12/31/2023,49900,6543000,Excess of Loss,1.377149729,78510
2413,6689,Property Cat XOL,Layer 3,CoGeInCo_1736,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.02,1/1/2023,12/31/2023,50780,1839000,Excess of Loss,1.377149729,4080
2413,6690,Property Cat XOL,Layer 4,CoGeInCo_1736,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.02,1/1/2023,12/31/2023,90160,5088000,Excess of Loss,1.377149729,55810
2413,6691,Property Cat XOL,Layer 5,CoGeInCo_1736,On_162,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.02,1/1/2023,12/31/2023,65870,5784000,Excess of Loss,1.377149729,67760
2502,6829,Property Cat XOL,Layer 1,DeAsGeIn_357,Lry_358,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Declined,0.01,1/1/2023,12/31/2023,59180,1450000,Excess of Loss,1.377149729,24070
2502,6830,Property Cat XOL,Layer 2,DeAsGeIn_357,Lry_358,CAD,Bermuda,Property Re,CAT Canada,Mark,Assumed,Bound,0.025,1/1/2023,12/31/2023,82620,6677000,Excess of Loss,1.364450456,37360
